,Date,Day_of_Week,Time_Slot,Route_ID,Route_Name,Bus_ID,Driver_ID,Bus_Type,Total_Seats,Seats_Booked,Occupancy_Rate (%),Ticket_Price,Revenue_Per_Trip,Fuel_Consumption_Liters,Fuel_Efficiency_KMPL,Maintenance_Status,Last_Service_Date,Breakdown_Incidents,Disruption_Likelihood,Risk_Score,Delay_Probability,Expense_Per_Trip,Profit_Per_Trip,Weather,Festival_Season,Holiday,Special_Event,Avg_Travel_Time (mins),Delay_Mins,Start_Desitination,End_Destination,Distance_KM
22,23-06-2024,Sunday,Night,430,Vadodara-Surat,GJ03-AC-235,D203,AC,60,58,96.67,200,11600,10.22,4.27,Needs Repair,01-06-2024,3,0.24,High,0.79,5839,5761,Foggy,1,0,Navratri,281,0,Vadodara,Surat,194
23,25-01-2024,Thursday,Night,426,Surat-Rajkot,GJ09-Express-133,D107,Sleeper,60,45,75,300,13500,7.06,4.27,Needs Repair,16-03-2024,3,0.42,Low,0.61,5033,8467,Foggy,0,1,,269,11,Surat,Rajkot,207
24,17-05-2024,Friday,Afternoon,114,Ahmedabad-Vadodara,GJ07-Express-300,D135,Express,50,47,94,250,11750,8.21,5.47,Needs Repair,14-04-2024,0,0.74,Medium,0.71,5505,6245,Foggy,1,1,Navratri,128,27,Ahmedabad,Vadodara,230
25,22-03-2024,Friday,Afternoon,209,Surat-Rajkot,GJ02-Non-AC-198,D217,Sleeper,60,40,66.67,250,10000,8,5.7,Good,29-01-2024,0,0.86,Medium,0.66,5846,4154,Clear,1,1,Navratri,281,17,Surat,Rajkot,62
26,22-01-2024,Monday,Morning,147,Vadodara-Surat,GJ05-Sleeper-358,D259,AC,60,33,55,300,9900,9.94,4.67,Needs Repair,07-05-2024,3,0.5,High,0.41,6686,3214,Clear,0,1,Festival Season,293,1,Vadodara,Surat,70
27,04-04-2024,Thursday,Morning,492,Gandhinagar-Bhavnagar,GJ03-AC-457,D201,Non-AC,60,21,35,300,6300,9.37,4.28,Good,19-05-2024,2,0.9,Low,0.36,5829,471,Clear,0,1,Festival Season,133,24,Gandhinagar,Bhavnagar,196
28,27-04-2024,Saturday,Night,240,Ahmedabad-Vadodara,GJ04-Non-AC-402,D344,Non-AC,50,48,96,150,7200,7.42,4.39,Needs Repair,05-01-2024,1,0.26,High,0.19,5860,1340,Foggy,1,0,IPL Match,270,4,Ahmedabad,Vadodara,102
29,14-04-2024,Sunday,Afternoon,211,Surat-Rajkot,GJ01-Sleeper-419,D212,Sleeper,40,36,90,250,9000,8.72,4.05,Good,23-05-2024,0,0.5,Medium,0.32,3047,5953,Clear,0,1,,157,10,Surat,Rajkot,68
30,28-06-2024,Friday,Morning,306,Ahmedabad-Vadodara,GJ07-Express-366,D159,Non-AC,50,58,116,300,17400,8.9,4.64,Needs Repair,26-03-2024,3,0.22,Medium,0.2,4971,12429,Foggy,1,1,IPL Match,153,18,Ahmedabad,Vadodara,106
31,21-06-2024,Friday,Afternoon,138,Ahmedabad-Vadodara,GJ07-Non-AC-139,D397,Non-AC,50,21,42,250,5250,7.68,5.57,Good,22-05-2024,0,0.65,Low,0.59,3418,1832,Clear,1,0,Festival Season,174,10,Ahmedabad,Vadodara,74
32,23-06-2024,Sunday,Night,324,Gandhinagar-Bhavnagar,GJ03-AC-367,D379,Non-AC,60,48,80,250,12000,7.11,5.92,Needs Repair,19-01-2024,2,0.49,Low,0.5,3663,8337,Foggy,1,1,Festival Season,154,27,Gandhinagar,Bhavnagar,80
33,17-05-2024,Friday,Afternoon,325,Ahmedabad-Vadodara,GJ04-AC-279,D463,Express,60,39,65,200,7800,9.67,4.78,Needs Repair,08-01-2024,1,0.56,Low,0.19,3953,3847,Clear,1,1,IPL Match,272,25,Ahmedabad,Vadodara,130
34,03-03-2024,Sunday,Morning,114,Surat-Rajkot,GJ08-Non-AC-292,D220,Sleeper,60,28,46.67,150,4200,6.69,4.45,Needs Repair,25-01-2024,3,0.17,Medium,0.45,5204,-1004,Clear,0,1,IPL Match,245,1,Surat,Rajkot,232
35,12-05-2024,Sunday,Afternoon,221,Vadodara-Surat,GJ06-Express-246,D444,Sleeper,40,48,120,300,14400,9.34,4.65,Needs Repair,17-02-2024,2,0.18,Low,0.21,6790,7610,Rainy,0,1,Navratri,238,6,Vadodara,Surat,72
36,22-04-2024,Monday,Morning,376,Surat-Rajkot,GJ09-Sleeper-194,D214,Sleeper,40,56,140,300,16800,9.7,4.9,Needs Repair,26-02-2024,2,0.2,Low,0.79,6192,10608,Foggy,1,0,Navratri,130,10,Surat,Rajkot,81
37,26-02-2024,Monday,Morning,445,Surat-Rajkot,GJ09-Sleeper-454,D229,AC,50,41,82,150,6150,8.09,4.75,Needs Repair,27-05-2024,3,0.7,Medium,0.11,3715,2435,Foggy,0,0,IPL Match,208,3,Surat,Rajkot,239
38,24-06-2024,Monday,Morning,462,Surat-Rajkot,GJ06-Sleeper-270,D394,Non-AC,40,29,72.5,250,7250,7.52,4.13,Good,19-03-2024,0,0.31,Medium,0.24,4924,2326,Foggy,0,0,Navratri,259,27,Surat,Rajkot,123
39,25-02-2024,Sunday,Afternoon,297,Surat-Rajkot,GJ09-Express-444,D157,Non-AC,50,42,84,250,10500,8.18,4.58,Good,03-05-2024,2,0.38,Medium,0.2,3443,7057,Foggy,0,1,IPL Match,185,30,Surat,Rajkot,59
40,14-02-2024,Wednesday,Afternoon,106,Ahmedabad-Vadodara,GJ07-AC-166,D458,Non-AC,60,25,41.67,250,6250,6.56,4.84,Needs Repair,19-04-2024,3,0.27,Medium,0.29,5530,720,Foggy,1,1,IPL Match,225,0,Ahmedabad,Vadodara,249
41,25-05-2024,Saturday,Night,220,Gandhinagar-Bhavnagar,GJ08-Express-186,D203,Non-AC,60,35,58.33,200,7000,7.66,5.82,Needs Repair,16-02-2024,1,0.42,Medium,0.38,5110,1890,Foggy,0,1,Navratri,290,18,Gandhinagar,Bhavnagar,103
42,28-01-2024,Sunday,Afternoon,246,Ahmedabad-Vadodara,GJ06-Express-398,D214,Express,50,48,96,300,14400,9.4,4.44,Needs Repair,24-05-2024,3,0.26,Medium,0.17,4569,9831,Rainy,0,1,Festival Season,159,12,Ahmedabad,Vadodara,101
43,21-01-2024,Sunday,Night,234,Surat-Rajkot,GJ06-Non-AC-457,D198,Non-AC,40,45,112.5,300,13500,9.69,4.8,Good,26-05-2024,2,0.41,Low,0.76,3947,9553,Clear,0,1,Festival Season,172,28,Surat,Rajkot,197
44,15-04-2024,Monday,Morning,177,Gandhinagar-Bhavnagar,GJ04-Sleeper-237,D316,AC,60,59,98.33,250,14750,8.55,5.99,Good,11-04-2024,0,0.65,Medium,0.6,3578,11172,Foggy,0,1,,241,6,Gandhinagar,Bhavnagar,209
45,12-04-2024,Friday,Morning,369,Surat-Rajkot,GJ05-Express-469,D414,AC,50,47,94,300,14100,7.54,5.8,Good,16-03-2024,3,0.19,Low,0.61,5963,8137,Clear,0,1,,126,22,Surat,Rajkot,163
46,24-03-2024,Sunday,Night,441,Surat-Rajkot,GJ03-AC-272,D493,Sleeper,40,39,97.5,250,9750,7.74,5.2,Needs Repair,16-04-2024,0,0.73,High,0.45,5613,4137,Clear,1,0,Navratri,192,28,Surat,Rajkot,63
47,06-05-2024,Monday,Afternoon,430,Ahmedabad-Vadodara,GJ05-Non-AC-494,D205,AC,60,26,43.33,300,7800,8.66,5.91,Needs Repair,13-03-2024,2,0.15,High,0.65,5110,2690,Foggy,0,0,Festival Season,283,25,Ahmedabad,Vadodara,227
48,28-04-2024,Sunday,Night,113,Gandhinagar-Bhavnagar,GJ06-Express-270,D317,AC,50,32,64,250,8000,6.51,4.38,Good,16-01-2024,0,0.44,Low,0.79,3748,4252,Foggy,0,1,Festival Season,222,8,Gandhinagar,Bhavnagar,205
49,02-06-2024,Sunday,Afternoon,447,Vadodara-Surat,GJ03-Non-AC-445,D263,AC,60,32,53.33,250,8000,8.72,4.49,Needs Repair,06-01-2024,2,0.49,Medium,0.63,4050,3950,Rainy,0,0,Festival Season,252,15,Vadodara,Surat,159
50,11-02-2024,Sunday,Afternoon,416,Surat-Rajkot,GJ07-AC-255,D341,AC,50,58,116,250,14500,9.16,5.62,Needs Repair,29-02-2024,0,0.57,High,0.28,4675,9825,Foggy,0,0,,174,18,Surat,Rajkot,102
51,15-03-2024,Friday,Afternoon,128,Ahmedabad-Vadodara,GJ03-Non-AC-155,D253,Sleeper,40,56,140,250,14000,10.37,4.87,Needs Repair,09-06-2024,1,0.38,Low,0.51,4317,9683,Rainy,0,0,,126,13,Ahmedabad,Vadodara,201
52,19-05-2024,Sunday,Afternoon,446,Surat-Rajkot,GJ09-Non-AC-474,D387,Non-AC,50,45,90,300,13500,6.64,4.11,Good,26-01-2024,3,0.19,Medium,0.58,4516,8984,Foggy,1,1,Festival Season,161,11,Surat,Rajkot,128
53,20-05-2024,Monday,Night,323,Ahmedabad-Vadodara,GJ02-AC-312,D433,Sleeper,60,28,46.67,150,4200,7.19,4.14,Needs Repair,22-03-2024,0,0.78,Medium,0.61,5833,-1633,Rainy,1,0,Festival Season,298,11,Ahmedabad,Vadodara,71
54,26-01-2024,Friday,Afternoon,473,Surat-Rajkot,GJ05-AC-275,D209,Sleeper,40,51,127.5,300,15300,7.6,4.03,Good,06-01-2024,3,0.54,Low,0.2,6333,8967,Foggy,1,0,Navratri,182,0,Surat,Rajkot,79
55,08-04-2024,Monday,Morning,174,Vadodara-Surat,GJ07-Sleeper-360,D343,Express,50,44,88,250,11000,8.15,5.64,Needs Repair,23-01-2024,2,0.26,Medium,0.29,3311,7689,Foggy,1,1,Festival Season,282,3,Vadodara,Surat,240
56,01-01-2024,Monday,Morning,125,Ahmedabad-Vadodara,GJ03-Sleeper-441,D427,AC,60,54,90,250,13500,7.65,4.46,Needs Repair,15-01-2024,2,0.7,Low,0.61,3246,10254,Rainy,1,0,Navratri,177,16,Ahmedabad,Vadodara,53
57,13-02-2024,Tuesday,Night,179,Surat-Rajkot,GJ07-Express-378,D478,Express,40,41,102.5,200,8200,8.41,6,Good,28-06-2024,0,0.77,Low,0.17,4555,3645,Clear,1,0,Festival Season,124,8,Surat,Rajkot,108
58,18-03-2024,Monday,Night,233,Surat-Rajkot,GJ08-AC-382,D277,Non-AC,40,48,120,300,14400,9.42,5.17,Good,25-01-2024,3,0.2,Low,0.76,4468,9932,Clear,0,0,,183,13,Surat,Rajkot,57
59,25-02-2024,Sunday,Morning,317,Ahmedabad-Vadodara,GJ09-AC-211,D199,Express,60,48,80,300,14400,6.73,5.35,Good,03-04-2024,0,0.52,High,0.5,5559,8841,Clear,1,1,Navratri,212,12,Ahmedabad,Vadodara,61
60,12-05-2024,Sunday,Afternoon,430,Surat-Rajkot,GJ07-Express-381,D112,Express,40,43,107.5,150,6450,7.36,4.27,Good,18-06-2024,3,0.79,High,0.61,5597,853,Foggy,0,0,Navratri,233,30,Surat,Rajkot,168
61,09-03-2024,Saturday,Night,486,Ahmedabad-Vadodara,GJ02-Express-354,D486,Express,50,46,92,150,6900,6.62,5.45,Needs Repair,18-04-2024,3,0.18,Low,0.31,4992,1908,Rainy,0,1,IPL Match,228,2,Ahmedabad,Vadodara,208
62,04-04-2024,Thursday,Night,318,Surat-Rajkot,GJ05-Non-AC-480,D328,Express,40,34,85,250,8500,9,4.1,Needs Repair,18-01-2024,2,0.77,Medium,0.44,5972,2528,Rainy,0,1,Festival Season,235,4,Surat,Rajkot,83
63,16-02-2024,Friday,Morning,182,Ahmedabad-Vadodara,GJ03-AC-177,D199,Express,50,40,80,150,6000,7.88,5.22,Good,06-04-2024,0,0.73,High,0.4,4493,1507,Rainy,1,1,IPL Match,223,12,Ahmedabad,Vadodara,131
64,18-04-2024,Thursday,Night,418,Surat-Rajkot,GJ09-Non-AC-233,D356,AC,60,24,40,200,4800,10.15,5.03,Good,09-06-2024,3,0.41,Medium,0.6,5700,-900,Rainy,1,1,Navratri,275,2,Surat,Rajkot,147
65,25-05-2024,Saturday,Afternoon,384,Surat-Rajkot,GJ04-Sleeper-101,D200,AC,50,28,56,200,5600,6.52,4.74,Good,04-06-2024,0,0.81,Low,0.46,6374,-774,Rainy,1,1,IPL Match,240,28,Surat,Rajkot,176
66,28-01-2024,Sunday,Night,227,Gandhinagar-Bhavnagar,GJ09-Express-373,D326,Non-AC,50,20,40,150,3000,9.23,4.48,Good,20-03-2024,2,0.34,High,0.53,3220,-220,Clear,0,1,,213,16,Gandhinagar,Bhavnagar,124
67,21-04-2024,Sunday,Night,204,Surat-Rajkot,GJ02-AC-180,D131,Sleeper,50,52,104,250,13000,9.48,5.39,Good,14-05-2024,3,0.14,Low,0.45,6637,6363,Foggy,1,1,Festival Season,131,10,Surat,Rajkot,154
68,20-02-2024,Tuesday,Night,207,Surat-Rajkot,GJ01-Non-AC-335,D335,Sleeper,60,34,56.67,150,5100,9.28,5.51,Needs Repair,26-04-2024,1,0.49,Medium,0.3,4816,284,Clear,0,0,Festival Season,134,11,Surat,Rajkot,98
69,21-04-2024,Sunday,Morning,119,Ahmedabad-Vadodara,GJ01-Express-380,D293,Non-AC,40,55,137.5,250,13750,8.58,5.33,Good,28-03-2024,0,0.27,High,0.57,6344,7406,Clear,0,1,Navratri,264,8,Ahmedabad,Vadodara,128
70,08-04-2024,Monday,Afternoon,191,Ahmedabad-Vadodara,GJ04-Sleeper-219,D157,Express,60,51,85,150,7650,9.22,5.86,Needs Repair,07-03-2024,0,0.43,High,0.14,5057,2593,Rainy,1,0,Navratri,272,24,Ahmedabad,Vadodara,234
71,21-04-2024,Sunday,Morning,165,Ahmedabad-Vadodara,GJ02-AC-410,D464,Sleeper,50,26,52,300,7800,6.92,4.15,Good,24-05-2024,1,0.66,High,0.5,5000,2800,Rainy,1,1,Navratri,236,12,Ahmedabad,Vadodara,142
72,16-05-2024,Thursday,Morning,359,Vadodara-Surat,GJ09-AC-410,D388,AC,40,54,135,200,10800,7.96,5.07,Good,16-06-2024,2,0.47,High,0.23,6299,4501,Rainy,1,1,,181,11,Vadodara,Surat,203
73,04-05-2024,Saturday,Afternoon,295,Vadodara-Surat,GJ03-Sleeper-246,D141,AC,60,40,66.67,150,6000,8.09,5.24,Needs Repair,21-06-2024,0,0.45,High,0.48,4104,1896,Foggy,0,1,Festival Season,296,7,Vadodara,Surat,67
74,01-05-2024,Wednesday,Afternoon,470,Gandhinagar-Bhavnagar,GJ03-AC-171,D386,AC,50,20,40,300,6000,9.44,5.84,Needs Repair,11-02-2024,2,0.19,Low,0.74,3516,2484,Clear,1,1,,262,28,Gandhinagar,Bhavnagar,145
75,18-03-2024,Monday,Night,198,Vadodara-Surat,GJ06-Non-AC-434,D323,Sleeper,50,58,116,150,8700,8.54,4.18,Good,20-04-2024,2,0.19,Low,0.52,5819,2881,Foggy,1,0,IPL Match,185,9,Vadodara,Surat,87
76,13-02-2024,Tuesday,Morning,250,Vadodara-Surat,GJ06-AC-121,D153,Non-AC,40,58,145,200,11600,7.7,5.89,Needs Repair,01-04-2024,0,0.17,Medium,0.51,6176,5424,Rainy,1,1,,150,23,Vadodara,Surat,136
77,29-05-2024,Wednesday,Night,224,Vadodara-Surat,GJ09-Sleeper-123,D399,Sleeper,50,41,82,250,10250,7.47,4.16,Good,29-01-2024,2,0.67,High,0.63,3605,6645,Foggy,0,0,Navratri,236,21,Vadodara,Surat,137
78,31-05-2024,Friday,Night,394,Gandhinagar-Bhavnagar,GJ08-AC-139,D305,AC,50,40,80,300,12000,7.81,5.45,Good,03-06-2024,1,0.29,Low,0.55,4301,7699,Rainy,1,1,Navratri,252,17,Gandhinagar,Bhavnagar,99
79,08-03-2024,Friday,Night,122,Gandhinagar-Bhavnagar,GJ09-Sleeper-465,D212,Express,60,51,85,300,15300,9.69,5.56,Needs Repair,21-02-2024,3,0.3,Low,0.12,4196,11104,Clear,1,0,Festival Season,294,29,Gandhinagar,Bhavnagar,57
80,14-04-2024,Sunday,Night,264,Ahmedabad-Vadodara,GJ05-Express-337,D253,Sleeper,40,24,60,300,7200,8.78,4.37,Needs Repair,19-05-2024,3,0.19,Low,0.53,5948,1252,Clear,0,1,Navratri,173,26,Ahmedabad,Vadodara,218
81,10-04-2024,Wednesday,Night,400,Surat-Rajkot,GJ09-Express-395,D350,Express,50,43,86,200,8600,8.3,4.08,Good,15-03-2024,1,0.24,Medium,0.22,5579,3021,Clear,1,0,,294,22,Surat,Rajkot,183
82,13-05-2024,Monday,Morning,422,Vadodara-Surat,GJ06-Sleeper-481,D467,Non-AC,50,53,106,150,7950,8.54,4.5,Good,21-01-2024,0,0.7,Low,0.63,5272,2678,Foggy,0,1,Festival Season,173,8,Vadodara,Surat,118
83,21-04-2024,Sunday,Afternoon,359,Gandhinagar-Bhavnagar,GJ01-Sleeper-399,D340,Express,60,52,86.67,150,7800,9.88,5.99,Good,07-01-2024,2,0.56,High,0.28,5572,2228,Rainy,0,0,,186,10,Gandhinagar,Bhavnagar,221
84,25-05-2024,Saturday,Morning,211,Ahmedabad-Vadodara,GJ01-Sleeper-354,D411,Sleeper,60,44,73.33,200,8800,7.49,5.89,Needs Repair,08-04-2024,2,0.48,Medium,0.23,5682,3118,Rainy,0,0,IPL Match,140,8,Ahmedabad,Vadodara,170
85,14-05-2024,Tuesday,Night,360,Vadodara-Surat,GJ03-Non-AC-473,D135,Sleeper,60,25,41.67,200,5000,7.4,4.58,Needs Repair,24-01-2024,0,0.29,Medium,0.54,3296,1704,Rainy,0,0,Navratri,152,5,Vadodara,Surat,113
86,16-04-2024,Tuesday,Night,232,Surat-Rajkot,GJ04-Non-AC-279,D129,Non-AC,40,40,100,300,12000,6.68,4.63,Needs Repair,11-02-2024,1,0.59,Low,0.11,4097,7903,Clear,1,1,IPL Match,275,22,Surat,Rajkot,206
87,28-03-2024,Thursday,Night,449,Surat-Rajkot,GJ08-Express-198,D371,Express,50,54,108,250,13500,8.1,5.34,Needs Repair,13-02-2024,0,0.44,Medium,0.52,4887,8613,Clear,1,1,IPL Match,210,5,Surat,Rajkot,205
88,05-03-2024,Tuesday,Morning,141,Ahmedabad-Vadodara,GJ05-AC-100,D345,AC,60,35,58.33,150,5250,8.25,4.11,Good,01-05-2024,1,0.21,High,0.39,3529,1721,Foggy,0,0,IPL Match,208,30,Ahmedabad,Vadodara,188
89,30-04-2024,Tuesday,Morning,301,Gandhinagar-Bhavnagar,GJ06-Express-478,D400,Sleeper,60,29,48.33,250,7250,7.24,4.87,Good,24-01-2024,2,0.15,Low,0.19,6160,1090,Foggy,0,0,IPL Match,141,11,Gandhinagar,Bhavnagar,170
90,13-04-2024,Saturday,Morning,225,Ahmedabad-Vadodara,GJ01-Express-456,D246,Sleeper,50,22,44,150,3300,9.19,5.95,Needs Repair,06-03-2024,3,0.16,Low,0.42,6472,-3172,Rainy,1,1,IPL Match,219,2,Ahmedabad,Vadodara,114
91,21-04-2024,Sunday,Night,281,Vadodara-Surat,GJ05-Non-AC-154,D137,AC,60,57,95,300,17100,10.47,4.62,Needs Repair,27-01-2024,0,0.7,High,0.72,4577,12523,Rainy,1,0,Navratri,224,0,Vadodara,Surat,156
92,18-01-2024,Thursday,Morning,252,Ahmedabad-Vadodara,GJ06-Non-AC-358,D151,Non-AC,60,29,48.33,250,7250,10.25,4.94,Needs Repair,04-06-2024,3,0.64,Low,0.54,3639,3611,Foggy,1,0,Navratri,295,5,Ahmedabad,Vadodara,196
93,27-05-2024,Monday,Afternoon,281,Surat-Rajkot,GJ09-Non-AC-139,D266,AC,50,60,120,150,9000,8.39,4.87,Needs Repair,29-04-2024,1,0.36,Low,0.17,3663,5337,Foggy,0,1,IPL Match,298,19,Surat,Rajkot,186
94,20-05-2024,Monday,Night,456,Surat-Rajkot,GJ05-AC-298,D283,Sleeper,40,39,97.5,150,5850,6.61,4.06,Needs Repair,02-01-2024,2,0.28,Low,0.2,5478,372,Rainy,1,1,Festival Season,291,22,Surat,Rajkot,204
95,21-01-2024,Sunday,Morning,377,Gandhinagar-Bhavnagar,GJ09-AC-116,D146,AC,60,35,58.33,250,8750,9.41,5.85,Good,08-01-2024,0,0.14,High,0.24,5251,3499,Clear,0,0,Navratri,233,22,Gandhinagar,Bhavnagar,211
96,28-03-2024,Thursday,Morning,331,Surat-Rajkot,GJ09-AC-398,D126,AC,40,36,90,250,9000,8.49,5.61,Good,20-03-2024,0,0.43,Medium,0.34,5675,3325,Foggy,0,1,IPL Match,172,4,Surat,Rajkot,221
97,11-04-2024,Thursday,Morning,324,Ahmedabad-Vadodara,GJ07-Sleeper-288,D283,Sleeper,40,53,132.5,250,13250,7.81,4.02,Needs Repair,22-03-2024,2,0.32,Medium,0.53,5020,8230,Clear,0,1,,236,10,Ahmedabad,Vadodara,245
98,07-05-2024,Tuesday,Night,475,Gandhinagar-Bhavnagar,GJ04-AC-225,D293,Express,60,59,98.33,150,8850,7.36,5.77,Needs Repair,04-03-2024,1,0.27,Low,0.34,4559,4291,Rainy,1,1,,185,24,Gandhinagar,Bhavnagar,149
99,15-03-2024,Friday,Afternoon,443,Vadodara-Surat,GJ02-Non-AC-111,D311,AC,60,53,88.33,150,7950,8.2,5.77,Needs Repair,29-04-2024,3,0.32,High,0.25,3038,4912,Rainy,1,0,IPL Match,164,10,Vadodara,Surat,131
